job_title,experience_level,employment_type,salary,company_location,num_skills,is_data_scientist,is_developer,is_analyst,interst_area,burnout_risk
Data Analyst,EN,FT,75000,US,9,0,0,0,healthcare,low
Data Analyst,EN,FT,60000,US,6,0,0,0,cybersecurity,low
Analytics Engineer,MI,FT,185700,US,7,0,0,0,webdev,medium
Analytics Engineer,MI,FT,165000,US,9,0,0,0,finance,low
Data Engineer,SE,FT,160000,US,5,0,0,0,cybersecurity,low
Data Engineer,SE,FT,130000,US,7,0,0,0,cybersecurity,medium
Data Analyst,SE,FT,169000,US,7,0,0,0,healthcare,high
Data Analyst,SE,FT,110600,US,9,0,0,0,cybersecurity,medium
Data Operations Engineer,SE,FT,193000,US,4,0,0,0,webdev,medium
Data Operations Engineer,SE,FT,136850,US,5,0,0,0,webdev,medium
Machine Learning Engineer,SE,FT,139500,US,9,0,0,0,AI,high
Machine Learning Engineer,SE,FT,109400,US,5,0,0,0,webdev,low
Data Engineer,SE,FT,276000,US,5,0,0,0,cybersecurity,low
Data Engineer,SE,FT,178500,US,7,0,0,0,webdev,low
Data Scientist,MI,FT,59188,ES,6,1,0,0,healthcare,low
Data Scientist,MI,FT,48426,ES,5,1,0,0,AI,medium
Data Engineer,MI,FT,75330,SI,8,0,0,0,cybersecurity,medium
Data Engineer,MI,FT,48426,SI,7,0,0,0,AI,low
Machine Learning Engineer,SE,FT,195940,GB,4,0,0,0,cybersecurity,low
Machine Learning Engineer,SE,FT,101378,GB,6,0,0,0,healthcare,medium
Data Engineer,SE,FT,137158,GB,8,0,0,0,AI,low
Data Engineer,SE,FT,101378,GB,8,0,0,0,finance,medium
Data Engineer,SE,FT,252000,US,4,0,0,0,cybersecurity,low
Data Engineer,SE,FT,129000,US,6,0,0,0,finance,low
BI Developer,SE,FT,130000,US,7,0,1,0,AI,low
Data Science Lead,MI,FT,150000,US,3,0,0,0,finance,low
Data Engineer,SE,FT,163800,US,6,0,0,0,finance,medium
Data Engineer,SE,FT,126000,US,4,0,0,0,AI,high
ML Engineer,SE,FT,260000,CA,8,0,0,0,healthcare,medium
ML Engineer,SE,FT,110000,CA,7,0,0,0,finance,low
Analytics Engineer,SE,FT,170000,US,6,0,0,0,finance,low
Analytics Engineer,SE,FT,130000,US,3,0,0,0,healthcare,medium
Machine Learning Engineer,SE,FT,247500,US,3,0,0,0,finance,medium
Machine Learning Engineer,SE,FT,172200,US,5,0,0,0,finance,low
Data Scientist,SE,FT,239748,US,5,1,0,0,finance,low
Data Scientist,SE,FT,159832,US,9,1,0,0,webdev,medium
Machine Learning Engineer,SE,FT,163800,US,4,0,0,0,healthcare,low
Machine Learning Engineer,SE,FT,126000,US,6,0,0,0,finance,low
Data Scientist,MI,FT,128750,US,6,1,0,0,healthcare,low
Data Scientist,MI,FT,106250,US,9,1,0,0,cybersecurity,low
Data Engineer,SE,FT,252000,US,8,0,0,0,cybersecurity,medium
Data Engineer,SE,FT,129000,US,8,0,0,0,finance,high
Data Science Manager,SE,FT,299500,US,9,0,0,0,healthcare,low
Data Science Manager,SE,FT,245100,US,8,0,0,0,healthcare,low
Data Analytics Manager,MI,FT,155000,US,5,0,0,0,healthcare,low
Data Analytics Manager,MI,FT,140000,US,6,0,0,0,webdev,low
Data Engineer,EX,FT,167500,US,9,0,0,0,cybersecurity,low
Data Engineer,EX,FT,106500,US,6,0,0,0,healthcare,medium
Data Architect,SE,FT,188500,US,3,0,0,0,healthcare,low
Data Architect,SE,FT,117000,US,5,0,0,0,webdev,low
Data Analyst,SE,FT,250000,US,7,0,0,0,webdev,low
Data Analyst,SE,FT,138000,US,5,0,0,0,healthcare,low
Data Analyst,MI,FT,130000,CA,9,0,0,0,AI,low
Data Analyst,MI,FT,100000,CA,7,0,0,0,healthcare,low
BI Data Engineer,SE,FT,5000,NG,3,0,0,0,healthcare,high
Deep Learning Researcher,SE,FT,123757,DE,9,0,0,0,webdev,low
Data Engineer,SE,FT,140000,US,4,0,0,0,webdev,low
Data Engineer,SE,FT,120000,US,6,0,0,0,healthcare,medium
BI Analyst,SE,FT,160000,US,3,0,0,0,healthcare,high
BI Analyst,SE,FT,135000,US,6,0,0,0,healthcare,low
Data Science Manager,MI,FT,104500,US,8,0,0,0,webdev,medium
Data Science Manager,MI,FT,70000,US,4,0,0,0,healthcare,low
Data Science Consultant,MI,FT,90000,US,4,0,0,0,healthcare,low
Data Science Consultant,MI,FT,70000,US,3,0,0,0,finance,low
Data Engineer,SE,FT,153600,US,4,0,0,0,AI,medium
Data Engineer,SE,FT,106800,US,7,0,0,0,cybersecurity,medium
Data Engineer,EN,FT,125000,US,4,0,0,0,AI,low
Data Engineer,EN,FT,90000,US,6,0,0,0,finance,low
Research Scientist,MI,FT,185000,US,6,0,0,0,cybersecurity,medium
Research Scientist,MI,FT,125000,US,9,0,0,0,healthcare,low
Data Analyst,SE,FT,127000,US,6,0,0,0,finance,low
Data Analyst,SE,FT,94000,US,9,0,0,0,healthcare,medium
Data Scientist,SE,FT,210550,US,6,1,0,0,webdev,medium
Data Scientist,SE,FT,153300,US,7,1,0,0,finance,medium
Data Scientist,MI,FT,200000,US,9,1,0,0,webdev,medium
Data Scientist,MI,FT,150000,US,5,1,0,0,finance,low
Data Analyst,SE,FT,161500,US,8,0,0,0,finance,medium
Data Analyst,SE,FT,119500,US,3,0,0,0,webdev,medium
Data Analyst,SE,FT,175000,US,6,0,0,0,cybersecurity,low
Data Analyst,SE,FT,145000,US,4,0,0,0,AI,low
Data Scientist,SE,FT,175000,US,6,1,0,0,healthcare,low
Data Scientist,SE,FT,148750,US,4,1,0,0,finance,low
Data Analytics Specialist,SE,FT,105000,US,8,0,0,0,healthcare,medium
Data Analytics Specialist,SE,FT,85000,US,8,0,0,0,webdev,medium
Research Scientist,SE,FT,215000,US,8,0,0,0,healthcare,low
Research Scientist,SE,FT,146300,US,4,0,0,0,webdev,low
AI Developer,EN,FT,215229,DE,6,0,1,0,healthcare,high
Data Engineer,MI,FT,72000,MX,8,0,0,0,AI,low
Data Engineer,MI,FT,60000,MX,7,0,0,0,AI,low
Machine Learning Engineer,SE,FT,153400,US,9,0,0,0,AI,low
Machine Learning Engineer,SE,FT,122700,US,4,0,0,0,AI,low
Data Engineer,MI,FT,260000,US,4,0,0,0,AI,low
Data Engineer,MI,FT,175000,US,6,0,0,0,AI,low
Data Scientist,SE,FT,186300,US,4,1,0,0,webdev,low
Data Scientist,SE,FT,123900,US,4,1,0,0,finance,low
Research Scientist,MI,FT,340000,US,8,0,0,0,healthcare,low
Research Scientist,MI,FT,150000,US,6,0,0,0,AI,low
Machine Learning Engineer,SE,FT,153400,US,8,0,0,0,webdev,medium
Machine Learning Engineer,SE,FT,122700,US,9,0,0,0,webdev,medium
Data Engineer,MI,FT,250000,US,9,0,0,0,webdev,low
Data Engineer,MI,FT,175000,US,8,0,0,0,finance,low
Data Engineering,MI,FT,12000,NG,9,0,0,0,healthcare,medium
Data Scientist,MI,FT,64568,FR,6,1,0,0,finance,low
Data Analyst,SE,FT,185900,US,3,0,0,0,cybersecurity,low
Data Analyst,SE,FT,121700,US,8,0,0,0,webdev,medium
Data Analyst,SE,FT,153600,US,7,0,0,0,cybersecurity,medium
Data Analyst,SE,FT,106800,US,7,0,0,0,AI,medium
Software Data Engineer,SE,FL,50000,AU,4,0,0,0,AI,low
Data Analyst,EN,FT,100000,US,9,0,0,0,finance,medium
Machine Learning Engineer,SE,FT,247500,US,7,0,0,0,healthcare,low
Machine Learning Engineer,SE,FT,172200,US,4,0,0,0,cybersecurity,medium
Data Engineer,EX,FT,310000,US,3,0,0,0,healthcare,low
Data Engineer,EX,FT,239000,US,6,0,0,0,finance,low
Data Analyst,SE,FT,125000,US,6,0,0,0,AI,medium
Data Analyst,SE,FT,110000,US,6,0,0,0,healthcare,low
Data Analyst,EN,FT,150000,US,7,0,0,0,healthcare,low
Data Analyst,EN,FT,100000,US,3,0,0,0,AI,high
Data Scientist,SE,FT,149076,US,7,1,0,0,cybersecurity,low
Data Scientist,SE,FT,82365,US,9,1,0,0,AI,low
Data Engineer,MI,FT,146000,US,7,0,0,0,healthcare,low
Data Engineer,MI,FT,75000,US,3,0,0,0,cybersecurity,medium
Machine Learning Engineer,SE,FT,139500,US,3,0,0,0,cybersecurity,medium
Machine Learning Engineer,SE,FT,109400,US,9,0,0,0,AI,low
Data Engineer,SE,FT,139500,US,3,0,0,0,healthcare,medium
Data Engineer,SE,FT,109400,US,3,0,0,0,finance,low
